Date,Facility,Energy_Usage_kWh,Cost_INR,Peak_Demand_kW,Carbon_Emission_kgCO2
2026-06-14,Corporate HQ - Tower A,2170.9,17801.32,121.6,1541.3
2026-06-14,North Distribution Center,2399.5,19676.14,130.6,1703.7
2026-06-14,Riverside Campus,2098.1,17204.42,117.6,1489.7
2026-06-15,Corporate HQ - Tower A,2245.7,18414.87,126.5,1594.5
2026-06-15,North Distribution Center,2278.6,18684.16,130.5,1617.8
2026-06-15,Riverside Campus,2165.6,17758.16,124.3,1537.6
2026-06-16,Corporate HQ - Tower A,2092.8,17161.19,116.8,1485.9
2026-06-16,North Distribution Center,2537.3,20805.91,142.2,1801.5
2026-06-16,Riverside Campus,2163.4,17739.99,120.8,1536.0
2026-06-17,Corporate HQ - Tower A,2003.2,16426.41,114.1,1422.3
2026-06-17,North Distribution Center,2378.9,19506.58,132.4,1689.0
2026-06-17,Riverside Campus,1983.6,16265.89,112.4,1408.4
2026-06-18,Corporate HQ - Tower A,2121.7,17398.32,116.1,1506.4
2026-06-18,North Distribution Center,2011.5,16494.48,112.5,1428.2
2026-06-18,Riverside Campus,1937.3,15885.86,112.4,1375.5
2026-06-19,Corporate HQ - Tower A,2088.9,17129.37,115.8,1483.2
2026-06-19,North Distribution Center,2303.9,18892.31,130.5,1635.8
2026-06-19,Riverside Campus,2085.9,17104.28,118.1,1481.0
2026-06-20,Corporate HQ - Tower A,2022.8,16587.21,116.2,1436.2
2026-06-20,North Distribution Center,2150.6,17634.73,123.3,1526.9
2026-06-20,Riverside Campus,1859.3,15246.15,107.2,1320.1
2026-06-21,Corporate HQ - Tower A,1925.0,15785.32,107.0,1366.8
2026-06-21,North Distribution Center,2106.1,17270.38,116.5,1495.4
2026-06-21,Riverside Campus,2138.3,17533.86,121.5,1518.2
2026-06-22,Corporate HQ - Tower A,2031.2,16655.91,115.9,1442.2
2026-06-22,North Distribution Center,1928.4,15812.96,111.1,1369.2
2026-06-22,Riverside Campus,2028.9,16636.69,110.0,1440.5
2026-06-23,Corporate HQ - Tower A,1926.6,15798.1,104.6,1367.9
2026-06-23,North Distribution Center,2041.6,16740.93,115.5,1449.5
2026-06-23,Riverside Campus,2046.2,16778.91,118.0,1452.8
2026-06-24,Corporate HQ - Tower A,2084.0,17088.71,120.8,1479.6
2026-06-24,North Distribution Center,2222.0,18220.58,126.4,1577.6
2026-06-24,Riverside Campus,1859.6,15248.42,103.8,1320.3
2026-06-25,Corporate HQ - Tower A,1915.5,15707.18,104.2,1360.0
2026-06-25,North Distribution Center,2142.4,17567.4,121.1,1521.1
2026-06-25,Riverside Campus,2069.7,16971.38,119.0,1469.5
2026-06-26,Corporate HQ - Tower A,1892.5,15518.5,105.7,1343.7
2026-06-26,North Distribution Center,2077.7,17037.32,118.0,1475.2
2026-06-26,Riverside Campus,1817.2,14901.37,105.2,1290.2
2026-06-27,Corporate HQ - Tower A,1808.9,14833.27,97.9,1284.3
2026-06-27,North Distribution Center,2200.0,18039.86,125.6,1562.0
2026-06-27,Riverside Campus,2115.2,17344.87,116.9,1501.8
